entity_a,entity_b,weight,level
صندوقاً,ينشئ,2.0,sentence
صندوقاً,50,2.0,sentence
صندوقاً,المركزي الأردني,2.0,sentence
ينشئ,50,2.0,sentence
ينشئ,المركزي الأردني,2.0,sentence
50,المركزي الأردني,2.0,sentence
1850-1900,وساهمت ظاهرة,1.0,document
1850-1900,، حيث,1.0,document
1850-1900,متوسط درجات,1.0,document
1850-1900,والشرق الأوسط,1.0,document
1850-1900,وشمال أفريقيا,1.0,document
1850-1900,التابع,1.0,document
1850-1900,1.48,1.0,document
1850-1900,اتجاهات الاحترار عبر جنوب,1.0,document
1850-1900,الأكثر حرارة,1.0,document
1850-1900,على الإطلاق,1.0,document
وساهمت ظاهرة,، حيث,1.0,document
وساهمت ظاهرة,2023,1.0,document
وساهمت ظاهرة,متوسط درجات,1.0,document
وساهمت ظاهرة,والشرق الأوسط,1.0,document
وساهمت ظاهرة,وشمال أفريقيا,1.0,document
وساهمت ظاهرة,التابع,1.0,document
وساهمت ظاهرة,1.48,1.0,document
وساهمت ظاهرة,اتجاهات الاحترار عبر جنوب,1.0,document
وساهمت ظاهرة,الأكثر حرارة,1.0,document
وساهمت ظاهرة,على الإطلاق,1.0,document
، حيث,2023,1.0,document
، حيث,متوسط درجات,1.0,document
، حيث,والشرق الأوسط,1.0,document
، حيث,وشمال أفريقيا,1.0,document
، حيث,التابع,1.0,document
، حيث,1.48,1.0,document
، حيث,اتجاهات الاحترار عبر جنوب,1.0,document
، حيث,الأكثر حرارة,1.0,document
، حيث,على الإطلاق,1.0,document
2023,متوسط درجات,1.0,document
2023,والشرق الأوسط,1.0,document
2023,وشمال أفريقيا,1.0,document
2023,التابع,1.0,document
2023,1.48,1.0,document
2023,اتجاهات الاحترار عبر جنوب,1.0,document
2023,الأكثر حرارة,1.0,document
2023,على الإطلاق,1.0,document
متوسط درجات,والشرق الأوسط,1.0,document
متوسط درجات,وشمال أفريقيا,1.0,document
متوسط درجات,التابع,1.0,document
متوسط درجات,1.48,1.0,document
متوسط درجات,اتجاهات الاحترار عبر جنوب,1.0,document
متوسط درجات,الأكثر حرارة,1.0,document
متوسط درجات,على الإطلاق,1.0,document
والشرق الأوسط,وشمال أفريقيا,1.0,document
والشرق الأوسط,التابع,1.0,document
والشرق الأوسط,1.48,1.0,document
والشرق الأوسط,اتجاهات الاحترار عبر جنوب,1.0,document
والشرق الأوسط,الأكثر حرارة,1.0,document
والشرق الأوسط,على الإطلاق,1.0,document
وشمال أفريقيا,التابع,1.0,document
وشمال أفريقيا,1.48,1.0,document
وشمال أفريقيا,اتجاهات الاحترار عبر جنوب,1.0,document
وشمال أفريقيا,الأكثر حرارة,1.0,document
وشمال أفريقيا,على الإطلاق,1.0,document
التابع,1.48,1.0,document
التابع,اتجاهات الاحترار عبر جنوب,1.0,document
التابع,الأكثر حرارة,1.0,document
التابع,على الإطلاق,1.0,document
1.48,اتجاهات الاحترار عبر جنوب,1.0,document
1.48,الأكثر حرارة,1.0,document
1.48,على الإطلاق,1.0,document
اتجاهات الاحترار عبر جنوب,الأكثر حرارة,1.0,document
اتجاهات الاحترار عبر جنوب,على الإطلاق,1.0,document
الأكثر حرارة,على الإطلاق,1.0,document
، حيث,2023,2.0,sentence
، حيث,متوسط درجات,2.0,sentence
، حيث,التابع,2.0,sentence
، حيث,1.48,2.0,sentence
، حيث,الأكثر حرارة,2.0,sentence
، حيث,على الإطلاق,2.0,sentence
2023,متوسط درجات,2.0,sentence
2023,التابع,2.0,sentence
2023,1.48,2.0,sentence
2023,الأكثر حرارة,2.0,sentence
2023,على الإطلاق,2.0,sentence
متوسط درجات,التابع,2.0,sentence
متوسط درجات,1.48,2.0,sentence
متوسط درجات,الأكثر حرارة,2.0,sentence
متوسط درجات,على الإطلاق,2.0,sentence
التابع,1.48,2.0,sentence
التابع,الأكثر حرارة,2.0,sentence
التابع,على الإطلاق,2.0,sentence
1.48,الأكثر حرارة,2.0,sentence
1.48,على الإطلاق,2.0,sentence
الأكثر حرارة,على الإطلاق,2.0,sentence
2023,وساهمت ظاهرة,2.0,sentence
والشرق الأوسط,وشمال أفريقيا,2.0,sentence
والشرق الأوسط,اتجاهات الاحترار عبر جنوب,2.0,sentence
وشمال أفريقيا,اتجاهات الاحترار عبر جنوب,2.0,sentence
كشفت دراسة,ارتفاع,1.0,document
كشفت دراسة,2006,1.0,document
كشفت دراسة,سطح البحر,1.0,document
كشفت دراسة,0.7,1.0,document
كشفت دراسة,270,1.0,document
كشفت دراسة,2010,1.0,document
كشفت دراسة,ويساهم,1.0,document
ارتفاع,2006,1.0,document
ارتفاع,سطح البحر,1.0,document
ارتفاع,0.7,1.0,document
ارتفاع,270,1.0,document
ارتفاع,2010,1.0,document
ارتفاع,ويساهم,1.0,document
2006,سطح البحر,1.0,document
2006,0.7,1.0,document
2006,270,1.0,document
2006,2010,1.0,document
2006,ويساهم,1.0,document
سطح البحر,0.7,1.0,document
سطح البحر,270,1.0,document
سطح البحر,2010,1.0,document
سطح البحر,ويساهم,1.0,document
0.7,270,1.0,document
0.7,2010,1.0,document
0.7,ويساهم,1.0,document
270,2010,1.0,document
270,ويساهم,1.0,document
2010,ويساهم,1.0,document
ارتفاع,2006,2.0,sentence
ارتفاع,سطح البحر,2.0,sentence
ارتفاع,0.7,2.0,sentence
ارتفاع,270,2.0,sentence
ارتفاع,ويساهم,2.0,sentence
2006,سطح البحر,2.0,sentence
2006,0.7,2.0,sentence
2006,270,2.0,sentence
2006,ويساهم,2.0,sentence
سطح البحر,0.7,2.0,sentence
سطح البحر,270,2.0,sentence
سطح البحر,ويساهم,2.0,sentence
0.7,270,2.0,sentence
0.7,ويساهم,2.0,sentence
270,ويساهم,2.0,sentence
2024,50%,1.0,document
2024,ثاني أكسيد الكربون,1.0,document
2024,الوطنية,1.0,document
2024,280,2.0,document
2024,424,1.0,document
2024,الغلاف,2.0,document
2024,بلغ,2.0,document
50%,ثاني أكسيد الكربون,1.0,document
50%,الوطنية,1.0,document
50%,280,1.0,document
50%,424,1.0,document
50%,الغلاف,1.0,document
50%,بلغ,1.0,document
ثاني أكسيد الكربون,الوطنية,1.0,document
ثاني أكسيد الكربون,280,1.0,document
ثاني أكسيد الكربون,424,1.0,document
ثاني أكسيد الكربون,الغلاف,1.0,document
ثاني أكسيد الكربون,بلغ,1.0,document
الوطنية,280,1.0,document
الوطنية,424,1.0,document
الوطنية,الغلاف,1.0,document
الوطنية,بلغ,1.0,document
280,424,1.0,document
280,الغلاف,1.0,document
280,بلغ,1.0,document
424,الغلاف,1.0,document
424,بلغ,1.0,document
الغلاف,بلغ,2.0,document
ثاني أكسيد الكربون,بلغ,2.0,sentence
الوطنية,2024,2.0,sentence
الوطنية,الغلاف,2.0,sentence
الوطنية,424,2.0,sentence
2024,الغلاف,2.0,sentence
2024,424,2.0,sentence
الغلاف,424,2.0,sentence
50%,280,2.0,sentence
14,على,1.0,document
14,2024,1.0,document
14,وتجاوزت درجات,1.0,document
14,الحيد,1.0,document
14,75%,1.0,document
14,جماعي رابع,1.0,document
14,المياه المتوسط الموسمي,1.0,document
14,ابيضاض مرجاني,1.0,document
14,المرجاني,1.0,document
على,2024,1.0,document
على,وتجاوزت درجات,1.0,document
على,الحيد,1.0,document
على,75%,2.0,document
على,جماعي رابع,1.0,document
على,المياه المتوسط الموسمي,1.0,document
على,ابيضاض مرجاني,1.0,document
على,المرجاني,1.0,document
2024,وتجاوزت درجات,1.0,document
2024,الحيد,1.0,document
2024,75%,1.0,document
2024,جماعي رابع,1.0,document
2024,المياه المتوسط الموسمي,1.0,document
2024,ابيضاض مرجاني,1.0,document
2024,المرجاني,1.0,document
وتجاوزت درجات,الحيد,1.0,document
وتجاوزت درجات,75%,1.0,document
وتجاوزت درجات,جماعي رابع,1.0,document
وتجاوزت درجات,المياه المتوسط الموسمي,1.0,document
وتجاوزت درجات,ابيضاض مرجاني,1.0,document
وتجاوزت درجات,المرجاني,1.0,document
الحيد,75%,1.0,document
الحيد,جماعي رابع,1.0,document
الحيد,المياه المتوسط الموسمي,1.0,document
الحيد,ابيضاض مرجاني,1.0,document
الحيد,المرجاني,1.0,document
75%,جماعي رابع,1.0,document
75%,المياه المتوسط الموسمي,1.0,document
75%,ابيضاض مرجاني,1.0,document
75%,المرجاني,1.0,document
جماعي رابع,المياه المتوسط الموسمي,1.0,document
جماعي رابع,ابيضاض مرجاني,1.0,document
جماعي رابع,المرجاني,1.0,document
المياه المتوسط الموسمي,ابيضاض مرجاني,1.0,document
المياه المتوسط الموسمي,المرجاني,1.0,document
ابيضاض مرجاني,المرجاني,1.0,document
2024,الحيد,2.0,sentence
2024,جماعي رابع,2.0,sentence
2024,ابيضاض مرجاني,2.0,sentence
2024,المرجاني,2.0,sentence
الحيد,جماعي رابع,2.0,sentence
الحيد,ابيضاض مرجاني,2.0,sentence
الحيد,المرجاني,2.0,sentence
جماعي رابع,ابيضاض مرجاني,2.0,sentence
جماعي رابع,المرجاني,2.0,sentence
ابيضاض مرجاني,المرجاني,2.0,sentence
14,وتجاوزت درجات,2.0,sentence
14,المياه المتوسط الموسمي,2.0,sentence
وتجاوزت درجات,المياه المتوسط الموسمي,2.0,sentence
على,75%,2.0,sentence
1993,منذ بدء القياسات,1.0,document
1993,ويعود 40%,1.0,document
1993,الجوية ارتفاعاً,1.0,document
1993,4.5 مليمتر,1.0,document
1993,التمدد الحراري,1.0,document
1993,،,1.0,document
1993,العالمية,1.0,document
منذ بدء القياسات,ويعود 40%,1.0,document
منذ بدء القياسات,الجوية ارتفاعاً,1.0,document
منذ بدء القياسات,4.5 مليمتر,1.0,document
منذ بدء القياسات,التمدد الحراري,1.0,document
منذ بدء القياسات,،,1.0,document
منذ بدء القياسات,العالمية,1.0,document
ويعود 40%,الجوية ارتفاعاً,1.0,document
ويعود 40%,4.5 مليمتر,1.0,document
ويعود 40%,التمدد الحراري,1.0,document
ويعود 40%,،,1.0,document
ويعود 40%,العالمية,1.0,document
الجوية ارتفاعاً,4.5 مليمتر,1.0,document
الجوية ارتفاعاً,التمدد الحراري,1.0,document
الجوية ارتفاعاً,،,1.0,document
الجوية ارتفاعاً,العالمية,1.0,document
4.5 مليمتر,التمدد الحراري,1.0,document
4.5 مليمتر,،,1.0,document
4.5 مليمتر,العالمية,1.0,document
التمدد الحراري,،,1.0,document
التمدد الحراري,العالمية,1.0,document
،,العالمية,1.0,document
1993,منذ بدء القياسات,2.0,sentence
1993,الجوية ارتفاعاً,2.0,sentence
1993,4.5 مليمتر,2.0,sentence
1993,العالمية,2.0,sentence
منذ بدء القياسات,الجوية ارتفاعاً,2.0,sentence
منذ بدء القياسات,4.5 مليمتر,2.0,sentence
منذ بدء القياسات,العالمية,2.0,sentence
الجوية ارتفاعاً,4.5 مليمتر,2.0,sentence
الجوية ارتفاعاً,العالمية,2.0,sentence
4.5 مليمتر,العالمية,2.0,sentence
،,ويعود 40%,2.0,sentence
،,التمدد الحراري,2.0,sentence
ويعود 40%,التمدد الحراري,2.0,sentence
2023,غبار الصحراء الكبرى,1.0,document
2023,القمر الاصطناعي كوبرنيكوس أن سبتمبر,1.0,document
2023,ظاهرة النينو وانخفاض,1.0,document
2023,متوسط ما قبل,1.0,document
2023,1.75,1.0,document
غبار الصحراء الكبرى,القمر الاصطناعي كوبرنيكوس أن سبتمبر,1.0,document
غبار الصحراء الكبرى,ظاهرة النينو وانخفاض,1.0,document
غبار الصحراء الكبرى,متوسط ما قبل,1.0,document
غبار الصحراء الكبرى,1.75,1.0,document
القمر الاصطناعي كوبرنيكوس أن سبتمبر,ظاهرة النينو وانخفاض,1.0,document
القمر الاصطناعي كوبرنيكوس أن سبتمبر,متوسط ما قبل,1.0,document
القمر الاصطناعي كوبرنيكوس أن سبتمبر,1.75,1.0,document
ظاهرة النينو وانخفاض,متوسط ما قبل,1.0,document
ظاهرة النينو وانخفاض,1.75,1.0,document
متوسط ما قبل,1.75,1.0,document
2023,متوسط ما قبل,2.0,sentence
2023,1.75,2.0,sentence
2023,القمر الاصطناعي كوبرنيكوس أن سبتمبر,2.0,sentence
متوسط ما قبل,1.75,2.0,sentence
متوسط ما قبل,القمر الاصطناعي كوبرنيكوس أن سبتمبر,2.0,sentence
1.75,القمر الاصطناعي كوبرنيكوس أن سبتمبر,2.0,sentence
غبار الصحراء الكبرى,ظاهرة النينو وانخفاض,2.0,sentence
1.0%,أكسيد الكربون من,1.0,document
1.0%,36.8,1.0,document
1.0%,قدّر,1.0,document
1.0%,وارتفعت,1.0,document
1.0%,15.5,1.0,document
أكسيد الكربون من,36.8,1.0,document
أكسيد الكربون من,قدّر,1.0,document
أكسيد الكربون من,2023,1.0,document
أكسيد الكربون من,وارتفعت,1.0,document
أكسيد الكربون من,1.5%,1.0,document
أكسيد الكربون من,15.5,1.0,document
36.8,قدّر,1.0,document
36.8,2023,1.0,document
36.8,وارتفعت,1.0,document
36.8,1.5%,1.0,document
36.8,15.5,1.0,document
قدّر,2023,1.0,document
قدّر,وارتفعت,1.0,document
قدّر,1.5%,1.0,document
قدّر,15.5,1.0,document
2023,وارتفعت,1.0,document
2023,15.5,1.0,document
وارتفعت,1.5%,1.0,document
وارتفعت,15.5,1.0,document
1.5%,15.5,1.0,document
36.8,قدّر,2.0,sentence
36.8,أكسيد الكربون من,2.0,sentence
36.8,2023,2.0,sentence
قدّر,أكسيد الكربون من,2.0,sentence
قدّر,2023,2.0,sentence
أكسيد الكربون من,2023,2.0,sentence
وارتفعت,1.5%,2.0,sentence
وارتفعت,1.0%,2.0,sentence
وارتفعت,15.5,2.0,sentence
1.5%,1.0%,2.0,sentence
1.5%,15.5,2.0,sentence
1.0%,15.5,2.0,sentence
2023، حيث,1970,1.0,document
2023، حيث,18,1.0,document
2023، حيث,درجات الحرارة,1.0,document
2023، حيث,وزادت,1.0,document
2023، حيث,40,1.0,document
2023، حيث,2.1,1.0,document
2023، حيث,شهدت عمّان,1.0,document
2023، حيث,35%,1.0,document
2023، حيث,على الإطلاق,1.0,document
2023، حيث,الصيف ارتفع,1.0,document
1970,18,1.0,document
1970,درجات الحرارة,1.0,document
1970,وزادت,1.0,document
1970,40,1.0,document
1970,2.1,1.0,document
1970,شهدت عمّان,1.0,document
1970,على الإطلاق,1.0,document
1970,الصيف ارتفع,1.0,document
18,درجات الحرارة,1.0,document
18,وزادت,1.0,document
18,40,1.0,document
18,2.1,1.0,document
18,شهدت عمّان,1.0,document
18,35%,1.0,document
18,على الإطلاق,1.0,document
18,الصيف ارتفع,1.0,document
درجات الحرارة,وزادت,1.0,document
درجات الحرارة,40,1.0,document
درجات الحرارة,2.1,1.0,document
درجات الحرارة,شهدت عمّان,1.0,document
درجات الحرارة,35%,1.0,document
درجات الحرارة,على الإطلاق,1.0,document
درجات الحرارة,الصيف ارتفع,1.0,document
وزادت,40,1.0,document
وزادت,2.1,1.0,document
وزادت,شهدت عمّان,1.0,document
وزادت,35%,1.0,document
وزادت,على الإطلاق,1.0,document
وزادت,الصيف ارتفع,1.0,document
40,2.1,1.0,document
40,شهدت عمّان,1.0,document
40,35%,1.0,document
40,على الإطلاق,1.0,document
40,الصيف ارتفع,1.0,document
2.1,شهدت عمّان,1.0,document
2.1,35%,1.0,document
2.1,على الإطلاق,1.0,document
2.1,الصيف ارتفع,1.0,document
شهدت عمّان,35%,1.0,document
شهدت عمّان,على الإطلاق,1.0,document
شهدت عمّان,الصيف ارتفع,1.0,document
35%,على الإطلاق,1.0,document
35%,الصيف ارتفع,1.0,document
على الإطلاق,الصيف ارتفع,1.0,document
2023، حيث,18,2.0,sentence
2023، حيث,درجات الحرارة,2.0,sentence
2023، حيث,40,2.0,sentence
2023، حيث,شهدت عمّان,2.0,sentence
2023، حيث,على الإطلاق,2.0,sentence
18,درجات الحرارة,2.0,sentence
18,40,2.0,sentence
18,شهدت عمّان,2.0,sentence
18,على الإطلاق,2.0,sentence
درجات الحرارة,40,2.0,sentence
درجات الحرارة,شهدت عمّان,2.0,sentence
درجات الحرارة,على الإطلاق,2.0,sentence
40,شهدت عمّان,2.0,sentence
40,على الإطلاق,2.0,sentence
شهدت عمّان,على الإطلاق,2.0,sentence
1970,2.1,2.0,sentence
1970,الصيف ارتفع,2.0,sentence
2.1,الصيف ارتفع,2.0,sentence
35%,وزادت,2.0,sentence
آخرين عندما,2023,1.0,document
آخرين عندما,"11,000",1.0,document
آخرين عندما,24,1.0,document
آخرين عندما,، وهو,1.0,document
آخرين عندما,270,1.0,document
آخرين عندما,"40,000",1.0,document
آخرين عندما,مليمتراً.,1.0,document
آخرين عندما,درنة بليبيا في سبتمبر,1.0,document
آخرين عندما,414,1.0,document
2023,"11,000",1.0,document
2023,24,1.0,document
2023,، وهو,1.0,document
2023,270,1.0,document
2023,"40,000",1.0,document
2023,مليمتراً.,1.0,document
2023,درنة بليبيا في سبتمبر,1.0,document
2023,414,1.0,document
"11,000",24,1.0,document
"11,000",، وهو,1.0,document
"11,000",270,1.0,document
"11,000","40,000",1.0,document
"11,000",مليمتراً.,1.0,document
"11,000",درنة بليبيا في سبتمبر,1.0,document
"11,000",414,1.0,document
24,، وهو,1.0,document
24,270,1.0,document
24,"40,000",1.0,document
24,مليمتراً.,1.0,document
24,درنة بليبيا في سبتمبر,1.0,document
24,414,1.0,document
، وهو,270,1.0,document
، وهو,"40,000",1.0,document
، وهو,مليمتراً.,1.0,document
، وهو,درنة بليبيا في سبتمبر,1.0,document
، وهو,414,1.0,document
270,مليمتراً.,1.0,document
270,درنة بليبيا في سبتمبر,1.0,document
270,414,1.0,document
"40,000",مليمتراً.,1.0,document
"40,000",درنة بليبيا في سبتمبر,1.0,document
"40,000",414,1.0,document
مليمتراً.,درنة بليبيا في سبتمبر,1.0,document
مليمتراً.,414,1.0,document
درنة بليبيا في سبتمبر,414,1.0,document
2023,درنة بليبيا في سبتمبر,2.0,sentence
آخرين عندما,"40,000",2.0,sentence
آخرين عندما,"11,000",2.0,sentence
"40,000","11,000",2.0,sentence
24,، وهو,2.0,sentence
24,270,2.0,sentence
24,مليمتراً.,2.0,sentence
24,414,2.0,sentence
، وهو,270,2.0,sentence
، وهو,مليمتراً.,2.0,sentence
، وهو,414,2.0,sentence
270,مليمتراً.,2.0,sentence
270,414,2.0,sentence
مليمتراً.,414,2.0,sentence
30%,2024,1.0,document
30%,الدول الإسكندنافية,1.0,document
30%,25%,1.0,document
30%,2000,1.0,document
30%,الكبرى,1.0,document
30%,الشمسية,1.0,document
30%,ازدادت العواصف الرملية,1.0,document
30%,وتحمل هذه العواصف,1.0,document
2024,الدول الإسكندنافية,1.0,document
2024,25%,1.0,document
2024,2000,1.0,document
2024,الكبرى,1.0,document
2024,الشمسية,1.0,document
2024,ازدادت العواصف الرملية,1.0,document
2024,وتحمل هذه العواصف,1.0,document
الدول الإسكندنافية,25%,1.0,document
الدول الإسكندنافية,2000,1.0,document
الدول الإسكندنافية,الكبرى,1.0,document
الدول الإسكندنافية,الشمسية,1.0,document
الدول الإسكندنافية,ازدادت العواصف الرملية,1.0,document
الدول الإسكندنافية,وتحمل هذه العواصف,1.0,document
25%,الكبرى,1.0,document
25%,الشمسية,1.0,document
25%,ازدادت العواصف الرملية,1.0,document
25%,وتحمل هذه العواصف,1.0,document
2000,الكبرى,1.0,document
2000,الشمسية,1.0,document
2000,ازدادت العواصف الرملية,1.0,document
2000,وتحمل هذه العواصف,1.0,document
الكبرى,الشمسية,1.0,document
الكبرى,ازدادت العواصف الرملية,1.0,document
الكبرى,وتحمل هذه العواصف,1.0,document
الشمسية,ازدادت العواصف الرملية,1.0,document
الشمسية,وتحمل هذه العواصف,1.0,document
ازدادت العواصف الرملية,وتحمل هذه العواصف,1.0,document
25%,الكبرى,2.0,sentence
25%,ازدادت العواصف الرملية,2.0,sentence
الكبرى,ازدادت العواصف الرملية,2.0,sentence
الكبرى,2000,2.0,sentence
ازدادت العواصف الرملية,2000,2.0,sentence
الشمسية,30%,2.0,sentence
الشمسية,وتحمل هذه العواصف,2.0,sentence
30%,وتحمل هذه العواصف,2.0,sentence
الدول الإسكندنافية,2024,2.0,sentence
2023، حيث,تركيز الجسيمات,1.0,document
2023، حيث,75,1.0,document
2023، حيث,12,1.0,document
2023، حيث,الصيفية,1.0,document
2023، حيث,25,1.0,document
تركيز الجسيمات,75,1.0,document
تركيز الجسيمات,12,1.0,document
تركيز الجسيمات,الصيفية,1.0,document
تركيز الجسيمات,25,1.0,document
75,12,1.0,document
75,الصيفية,1.0,document
75,25,1.0,document
12,الصيفية,1.0,document
12,25,1.0,document
الصيفية,25,1.0,document
2023، حيث,تركيز الجسيمات,2.0,sentence
2023، حيث,75,2.0,sentence
2023، حيث,12,2.0,sentence
2023، حيث,الصيفية,2.0,sentence
2023، حيث,25,2.0,sentence
تركيز الجسيمات,75,2.0,sentence
تركيز الجسيمات,12,2.0,sentence
تركيز الجسيمات,الصيفية,2.0,sentence
تركيز الجسيمات,25,2.0,sentence
75,12,2.0,sentence
75,الصيفية,2.0,sentence
75,25,2.0,sentence
12,الصيفية,2.0,sentence
12,25,2.0,sentence
الصيفية,25,2.0,sentence
"20,000",اليونان,1.0,document
"20,000",2023,1.0,document
"20,000",3.5,1.0,document
"20,000",حرائق الغابات,1.0,document
"20,000",حوض البحر,1.0,document
"20,000",48,1.0,document
"20,000",وأدت الحرائق,1.0,document
"20,000",والجزائر وتونس,1.0,document
"20,000",أكثر من,1.0,document
"20,000",وتجاوزت درجات الحرارة,1.0,document
اليونان,2023,1.0,document
اليونان,3.5,1.0,document
اليونان,"400,000",1.0,document
اليونان,حرائق الغابات,1.0,document
اليونان,حوض البحر,1.0,document
اليونان,48,1.0,document
اليونان,وأدت الحرائق,1.0,document
اليونان,والجزائر وتونس,1.0,document
اليونان,أكثر من,1.0,document
اليونان,وتجاوزت درجات الحرارة,1.0,document
2023,3.5,1.0,document
2023,"400,000",1.0,document
2023,حرائق الغابات,1.0,document
2023,حوض البحر,1.0,document
2023,48,1.0,document
2023,وأدت الحرائق,1.0,document
2023,والجزائر وتونس,1.0,document
2023,أكثر من,1.0,document
2023,وتجاوزت درجات الحرارة,1.0,document
3.5,"400,000",1.0,document
3.5,حرائق الغابات,1.0,document
3.5,حوض البحر,1.0,document
3.5,48,1.0,document
3.5,وأدت الحرائق,1.0,document
3.5,والجزائر وتونس,1.0,document
3.5,أكثر من,1.0,document
3.5,وتجاوزت درجات الحرارة,1.0,document
"400,000",حرائق الغابات,1.0,document
"400,000",حوض البحر,1.0,document
"400,000",48,1.0,document
"400,000",وأدت الحرائق,1.0,document
"400,000",والجزائر وتونس,1.0,document
"400,000",أكثر من,1.0,document
"400,000",وتجاوزت درجات الحرارة,1.0,document
حرائق الغابات,حوض البحر,1.0,document
حرائق الغابات,48,1.0,document
حرائق الغابات,وأدت الحرائق,1.0,document
حرائق الغابات,والجزائر وتونس,1.0,document
حرائق الغابات,أكثر من,1.0,document
حرائق الغابات,وتجاوزت درجات الحرارة,1.0,document
حوض البحر,48,1.0,document
حوض البحر,وأدت الحرائق,1.0,document
حوض البحر,والجزائر وتونس,1.0,document
حوض البحر,أكثر من,1.0,document
حوض البحر,وتجاوزت درجات الحرارة,1.0,document
48,وأدت الحرائق,1.0,document
48,والجزائر وتونس,1.0,document
48,أكثر من,1.0,document
48,وتجاوزت درجات الحرارة,1.0,document
وأدت الحرائق,والجزائر وتونس,1.0,document
وأدت الحرائق,أكثر من,1.0,document
وأدت الحرائق,وتجاوزت درجات الحرارة,1.0,document
والجزائر وتونس,أكثر من,1.0,document
والجزائر وتونس,وتجاوزت درجات الحرارة,1.0,document
أكثر من,وتجاوزت درجات الحرارة,1.0,document
2023,"400,000",2.0,sentence
2023,حرائق الغابات,2.0,sentence
2023,حوض البحر,2.0,sentence
"400,000",حرائق الغابات,2.0,sentence
"400,000",حوض البحر,2.0,sentence
حرائق الغابات,حوض البحر,2.0,sentence
والجزائر وتونس,اليونان,2.0,sentence
"20,000",3.5,2.0,sentence
"20,000",48,2.0,sentence
"20,000",وأدت الحرائق,2.0,sentence
"20,000",أكثر من,2.0,sentence
"20,000",وتجاوزت درجات الحرارة,2.0,sentence
3.5,48,2.0,sentence
3.5,وأدت الحرائق,2.0,sentence
3.5,أكثر من,2.0,sentence
3.5,وتجاوزت درجات الحرارة,2.0,sentence
48,وأدت الحرائق,2.0,sentence
48,أكثر من,2.0,sentence
48,وتجاوزت درجات الحرارة,2.0,sentence
وأدت الحرائق,أكثر من,2.0,sentence
وأدت الحرائق,وتجاوزت درجات الحرارة,2.0,sentence
أكثر من,وتجاوزت درجات الحرارة,2.0,sentence
افتتحت المملكة,مصادر متجددة,1.0,document
افتتحت المملكة,الهاشمية,1.0,document
افتتحت المملكة,50%,1.0,document
افتتحت المملكة,الأردنية,1.0,document
افتتحت المملكة,2030,1.0,document
افتتحت المملكة,200,1.0,document
افتتحت المملكة,"110,000",1.0,document
افتتحت المملكة,"2,400",1.0,document
افتتحت المملكة,الكهرباء,1.0,document
مصادر متجددة,الهاشمية,1.0,document
مصادر متجددة,50%,1.0,document
مصادر متجددة,الأردنية,1.0,document
مصادر متجددة,2030,1.0,document
مصادر متجددة,200,1.0,document
مصادر متجددة,"110,000",1.0,document
مصادر متجددة,"2,400",1.0,document
مصادر متجددة,الكهرباء,1.0,document
الهاشمية,50%,1.0,document
الهاشمية,الأردنية,1.0,document
الهاشمية,2030,1.0,document
الهاشمية,200,1.0,document
الهاشمية,"110,000",1.0,document
الهاشمية,"2,400",1.0,document
الهاشمية,الكهرباء,1.0,document
50%,الأردنية,1.0,document
50%,200,1.0,document
50%,"110,000",1.0,document
50%,"2,400",1.0,document
50%,الكهرباء,1.0,document
الأردنية,2030,1.0,document
الأردنية,200,1.0,document
الأردنية,"110,000",1.0,document
الأردنية,"2,400",1.0,document
الأردنية,الكهرباء,1.0,document
2030,200,1.0,document
2030,"110,000",1.0,document
2030,"2,400",1.0,document
2030,الكهرباء,1.0,document
200,"110,000",1.0,document
200,"2,400",1.0,document
200,الكهرباء,1.0,document
"110,000","2,400",1.0,document
"110,000",الكهرباء,1.0,document
"2,400",الكهرباء,1.0,document
افتتحت المملكة,الهاشمية,2.0,sentence
افتتحت المملكة,الأردنية,2.0,sentence
افتتحت المملكة,200,2.0,sentence
افتتحت المملكة,"2,400",2.0,sentence
الهاشمية,الأردنية,2.0,sentence
الهاشمية,200,2.0,sentence
الهاشمية,"2,400",2.0,sentence
الأردنية,200,2.0,sentence
الأردنية,"2,400",2.0,sentence
200,"2,400",2.0,sentence
50%,مصادر متجددة,2.0,sentence
مصادر متجددة,2030,2.0,sentence
الكهرباء,"110,000",2.0,sentence
40%,خفض,1.0,document
40%,الشمسية على الأسطح,1.0,document
40%,أطلقت مدينة عمّان خطة,1.0,document
40%,الذي,1.0,document
40%,وتشمل المبادرات الرئيسية,1.0,document
خفض,الشمسية على الأسطح,1.0,document
خفض,أطلقت مدينة عمّان خطة,1.0,document
خفض,"300,000",1.0,document
خفض,الذي,1.0,document
خفض,2021,1.0,document
خفض,وتشمل المبادرات الرئيسية,1.0,document
الشمسية على الأسطح,أطلقت مدينة عمّان خطة,1.0,document
الشمسية على الأسطح,"300,000",1.0,document
الشمسية على الأسطح,2030,1.0,document
الشمسية على الأسطح,الذي,1.0,document
الشمسية على الأسطح,2021,1.0,document
الشمسية على الأسطح,وتشمل المبادرات الرئيسية,1.0,document
أطلقت مدينة عمّان خطة,"300,000",1.0,document
أطلقت مدينة عمّان خطة,2030,1.0,document
أطلقت مدينة عمّان خطة,الذي,1.0,document
أطلقت مدينة عمّان خطة,2021,1.0,document
أطلقت مدينة عمّان خطة,وتشمل المبادرات الرئيسية,1.0,document
"300,000",الذي,1.0,document
"300,000",وتشمل المبادرات الرئيسية,1.0,document
